DATE,CAPUTLB00004SQ
1948-01-01,83.9243
1948-04-01,83.2488
1948-07-01,82.5096
1948-10-01,80.4134
1949-01-01,76.9048
1949-04-01,73.4775
1949-07-01,73.8471
1949-10-01,72.4424
1950-01-01,75.5711
1950-04-01,81.1239
1950-07-01,87.0240
1950-10-01,87.5353
1951-01-01,88.3349
1951-04-01,87.3992
1951-07-01,84.0852
1951-10-01,83.5080
1952-01-01,84.5467
1952-04-01,82.8574
1952-07-01,84.1963
1952-10-01,89.8075
1953-01-01,91.0258
1953-04-01,91.2838
1953-07-01,89.9562
1953-10-01,84.7477
1954-01-01,80.8032
1954-04-01,79.6767
1954-07-01,79.1232
1954-10-01,80.8184
1955-01-01,84.4645
1955-04-01,87.4043
1955-07-01,87.4830
1955-10-01,88.5527
1956-01-01,87.5453
1956-04-01,86.4917
1956-07-01,84.1539
1956-10-01,86.3631
1957-01-01,86.5210
1957-04-01,84.5961
1957-07-01,83.8886
1957-10-01,79.4514
1958-01-01,74.0657
1958-04-01,72.4060
1958-07-01,75.4322
1958-10-01,78.1743
1959-01-01,81.3723
1959-04-01,84.5589
1959-07-01,80.4988
1959-10-01,80.0757
1960-01-01,84.4715
1960-04-01,81.3180
1960-07-01,78.8989
1960-10-01,75.8523
1961-01-01,73.8284
1961-04-01,76.3543
1961-07-01,78.4144
1961-10-01,80.6409
1962-01-01,81.1862
1962-04-01,81.3356
1962-07-01,81.5601
1962-10-01,81.6344
1963-01-01,82.3156
1963-04-01,83.7831
1963-07-01,83.5563
1963-10-01,84.2037
1964-01-01,84.4956
1964-04-01,85.5448
1964-07-01,86.0569
1964-10-01,86.4920
1965-01-01,88.8660
1965-04-01,89.3981
1965-07-01,89.9023
1965-10-01,89.9839
1966-01-01,91.1196
1966-04-01,91.5667
1966-07-01,91.2437
1966-10-01,90.5907
1967-01-01,88.5845
1967-04-01,86.7784
1967-07-01,85.9545
1967-10-01,87.3031
1968-01-01,87.3235
1968-04-01,87.2713
1968-07-01,86.6607
1968-10-01,87.0830
1969-01-01,87.6509
1969-04-01,86.8993
1969-07-01,86.8139
1969-10-01,85.1445
1970-01-01,81.8072
1970-04-01,80.4070
1970-07-01,79.0963
1970-10-01,76.3571
1971-01-01,77.4969
1971-04-01,77.6240
1971-07-01,77.3720
1971-10-01,79.0998
1972-01-01,81.7043
1972-04-01,82.7800
1972-07-01,83.3074
1972-10-01,85.6899
1973-01-01,87.6168
1973-04-01,87.5528
1973-07-01,87.3335
1973-10-01,88.1079
1974-01-01,86.6219
1974-04-01,85.8048
1974-07-01,84.8276
1974-10-01,80.5770
1975-01-01,73.6047
1975-04-01,71.9670
1975-07-01,73.8584
1975-10-01,75.3223
1976-01-01,77.3415
1976-04-01,78.0781
1976-07-01,78.6723
1976-10-01,79.2874
1977-01-01,80.6972
1977-04-01,82.8615
1977-07-01,83.1792
1977-10-01,83.2331
1978-01-01,82.5970
1978-04-01,84.6289
1978-07-01,84.7173
1978-10-01,85.7091
1979-01-01,85.3161
1979-04-01,84.3958
1979-07-01,83.6050
1979-10-01,83.0037
1980-01-01,82.6235
1980-04-01,77.9436
1980-07-01,75.7793
1980-10-01,78.5517
1981-01-01,78.0205
1981-04-01,77.9016
1981-07-01,77.1923
1981-10-01,74.6614
1982-01-01,72.3749
1982-04-01,71.6014
1982-07-01,70.6606
1982-10-01,68.9341
1983-01-01,70.2974
1983-04-01,72.1823
1983-07-01,74.6424
1983-10-01,76.7040
1984-01-01,78.7254
1984-04-01,79.4871
1984-07-01,79.6213
1984-10-01,79.4539
1985-01-01,78.7806
1985-04-01,78.2445
1985-07-01,77.6916
1985-10-01,77.7062
1986-01-01,78.3095
1986-04-01,78.1032
1986-07-01,78.3055
1986-10-01,78.8921
1987-01-01,79.4987
1987-04-01,80.2580
1987-07-01,81.1696
1987-10-01,82.9482
1988-01-01,83.2464
1988-04-01,84.0056
1988-07-01,84.0621
1988-10-01,84.7921
1989-01-01,84.8863
1989-04-01,83.7969
1989-07-01,82.5307
1989-10-01,81.9782
1990-01-01,82.2035
1990-04-01,82.2414
1990-07-01,81.9593
1990-10-01,80.1397
1991-01-01,77.9914
1991-04-01,78.0508
1991-07-01,79.1078
1991-10-01,79.0589
1992-01-01,78.6632
1992-04-01,79.6660
1992-07-01,79.8618
1992-10-01,79.9268
1993-01-01,80.3461
1993-04-01,80.2551
1993-07-01,80.0600
1993-10-01,80.9733
1994-01-01,81.3786
1994-04-01,82.5293
1994-07-01,82.9345
1994-10-01,84.0822
1995-01-01,84.0456
1995-04-01,83.2218
1995-07-01,82.7664
