DATE,CUMFN
1972-01-01,81.6
1972-04-01,82.7
1972-07-01,83.2
1972-10-01,85.6
1973-01-01,87.7
1973-04-01,87.6
1973-07-01,87.5
1973-10-01,88.3
1974-01-01,86.7
1974-04-01,85.9
1974-07-01,84.9
1974-10-01,80.6
1975-01-01,73.5
1975-04-01,71.8
1975-07-01,73.7
1975-10-01,75.3
1976-01-01,77.4
1976-04-01,78.1
1976-07-01,78.7
1976-10-01,79.3
1977-01-01,80.7
1977-04-01,82.8
1977-07-01,83.1
1977-10-01,83.2
1978-01-01,82.5
1978-04-01,84.6
1978-07-01,84.7
1978-10-01,85.8
1979-01-01,85.3
1979-04-01,84.4
1979-07-01,83.5
1979-10-01,82.9
1980-01-01,82.5
1980-04-01,77.7
1980-07-01,75.4
1980-10-01,78.3
1981-01-01,77.7
1981-04-01,77.6
1981-07-01,76.8
1981-10-01,74.2
1982-01-01,71.9
1982-04-01,71.1
1982-07-01,70.1
1982-10-01,68.3
1983-01-01,69.7
1983-04-01,71.6
1983-07-01,74.2
1983-10-01,76.3
1984-01-01,78.3
1984-04-01,79.1
1984-07-01,79.2
1984-10-01,79.0
1985-01-01,78.3
1985-04-01,77.7
1985-07-01,77.2
1985-10-01,77.3
1986-01-01,77.9
1986-04-01,77.6
1986-07-01,77.8
1986-10-01,78.5
1987-01-01,79.1
1987-04-01,79.8
1987-07-01,80.7
1987-10-01,82.6
1988-01-01,82.9
1988-04-01,83.8
1988-07-01,83.9
1988-10-01,84.7
1989-01-01,84.8
1989-04-01,83.7
1989-07-01,82.4
1989-10-01,81.9
1990-01-01,82.1
1990-04-01,82.2
1990-07-01,81.9
1990-10-01,80.0
1991-01-01,77.8
1991-04-01,77.9
1991-07-01,79.0
1991-10-01,79.0
1992-01-01,78.6
1992-04-01,79.6
1992-07-01,79.8
1992-10-01,79.9
1993-01-01,80.3
1993-04-01,80.2
1993-07-01,80.0
1993-10-01,81.0
1994-01-01,81.4
1994-04-01,82.6
1994-07-01,83.0
1994-10-01,84.2
1995-01-01,84.1
1995-04-01,83.3
1995-07-01,82.8
1995-10-01,82.6
1996-01-01,81.7
1996-04-01,82.3
1996-07-01,82.5
1996-10-01,82.3
1997-01-01,82.6
1997-04-01,82.5
1997-07-01,82.9
1997-10-01,83.4
1998-01-01,82.8
1998-04-01,81.3
1998-07-01,80.3
1998-10-01,80.5
1999-01-01,80.3
1999-04-01,80.1
1999-07-01,79.7
1999-10-01,80.2
2000-01-01,80.1
2000-04-01,80.1
2000-07-01,79.1
2000-10-01,77.7
2001-01-01,75.8
2001-04-01,74.0
2001-07-01,72.2
2001-10-01,71.1
2002-01-01,71.6
2002-04-01,72.6
2002-07-01,73.2
2002-10-01,73.1
2003-01-01,73.3
2003-04-01,73.0
2003-07-01,73.5
2003-10-01,74.5
2004-01-01,75.0
2004-04-01,75.6
2004-07-01,76.3
2004-10-01,77.3
2005-01-01,78.3
2005-04-01,78.3
2005-07-01,77.6
2005-10-01,78.4
2006-01-01,78.7
2006-04-01,78.5
2006-07-01,78.5
2006-10-01,78.4
2007-01-01,78.8
2007-04-01,79.3
2007-07-01,79.0
2007-10-01,78.7
2008-01-01,78.0
2008-04-01,76.5
2008-07-01,73.9
2008-10-01,69.8
2009-01-01,65.4
2009-04-01,63.8
2009-07-01,65.4
2009-10-01,66.9
2010-01-01,68.4
2010-04-01,70.7
2010-07-01,72.0
2010-10-01,72.6
2011-01-01,73.5
2011-04-01,73.6
2011-07-01,74.3
2011-10-01,74.8
2012-01-01,75.5
2012-04-01,75.5
2012-07-01,75.1
2012-10-01,75.2
2013-01-01,75.5
2013-04-01,75.2
2013-07-01,74.9
2013-10-01,75.2
2014-01-01,75.0
2014-04-01,75.8
2014-07-01,76.1
2014-10-01,76.4
2015-01-01,76.0
2015-04-01,75.9
2015-07-01,76.0
2015-10-01,75.8
2016-01-01,75.8
2016-04-01,75.5
2016-07-01,75.3
2016-10-01,75.5
2017-01-01,75.9
