DATE,IPB50001SQ_20170317,IPB50001SQ_20170331
1919-01-01,4.8629,4.8399
1919-04-01,4.9001,4.8770
1919-07-01,5.4404,5.4148
1919-10-01,5.3100,5.2849
1920-01-01,5.8038,5.7764
1920-04-01,5.5336,5.5075
1920-07-01,5.4311,5.4055
1920-10-01,4.7138,4.6915
1921-01-01,4.0431,4.0240
1921-04-01,4.0058,3.9869
1921-07-01,4.0990,4.0796
1921-10-01,4.3691,4.3485
1922-01-01,4.7138,4.6915
1922-04-01,5.0305,5.0068
1922-07-01,5.3007,5.2757
1922-10-01,5.9808,5.9525
1923-01-01,6.1578,6.1287
1923-04-01,6.4931,6.4625
1923-07-01,6.3068,6.2770
1923-10-01,6.1019,6.0731
1924-01-01,6.1857,6.1565
1924-04-01,5.7013,5.6744
1924-07-01,5.5615,5.5353
1924-10-01,6.0273,5.9989
1925-01-01,6.3720,6.3419
1925-04-01,6.3907,6.3605
1925-07-01,6.4093,6.3790
1925-10-01,6.6888,6.6572
1926-01-01,6.7074,6.6757
1926-04-01,6.7540,6.7221
1926-07-01,6.9123,6.8797
1926-10-01,6.9869,6.9539
1927-01-01,6.9962,6.9631
1927-04-01,6.9310,6.8982
1927-07-01,6.8099,6.7777
1927-10-01,6.6049,6.5737
1928-01-01,6.8192,6.7870
1928-04-01,6.9217,6.8890
1928-07-01,7.1825,7.1486
1928-10-01,7.5458,7.5102
1929-01-01,7.7880,7.7513
1929-04-01,8.0489,8.0109
1929-07-01,8.1700,8.1314
1929-10-01,7.5924,7.5565
1930-01-01,7.1825,7.1486
1930-04-01,6.9030,6.8704
1930-07-01,6.2975,6.2678
1930-10-01,5.8690,5.8413
1931-01-01,5.7572,5.7300
1931-04-01,5.7665,5.7393
1931-07-01,5.3473,5.3220
1931-10-01,4.8722,4.8492
1932-01-01,4.6020,4.5803
1932-04-01,4.0803,4.0611
1932-07-01,3.9872,3.9683
1932-10-01,4.3039,4.2836
1933-01-01,4.0990,4.0796
1933-04-01,4.9374,4.9141
1933-07-01,5.9249,5.8969
1933-10-01,5.1423,5.1181
1934-01-01,5.4777,5.4518
1934-04-01,5.7665,5.7393
1934-07-01,5.1982,5.1737
1934-10-01,5.3473,5.3220
1935-01-01,6.1019,6.0731
1935-04-01,6.0366,6.0081
1935-07-01,6.2975,6.2678
1935-10-01,6.8005,6.7684
1936-01-01,6.7074,6.6757
1936-04-01,7.2663,7.2320
1936-07-01,7.6669,7.6307
1936-10-01,8.1420,8.1036
1937-01-01,8.4960,8.4559
1937-04-01,8.6451,8.6043
1937-07-01,8.5053,8.4652
1937-10-01,6.9775,6.9446
1938-01-01,6.1391,6.1101
1938-04-01,5.9342,5.9062
1938-07-01,6.5490,6.5181
1938-10-01,7.1732,7.1393
1939-01-01,7.3688,7.3340
1939-04-01,7.4154,7.3804
1939-07-01,7.9743,7.9367
1939-10-01,8.8966,8.8546
1940-01-01,8.6078,8.5672
1940-04-01,8.8128,8.7712
1940-07-01,9.2972,9.2533
1940-10-01,9.8468,9.8003
1941-01-01,10.7132,10.6626
1941-04-01,11.4305,11.3765
1941-07-01,11.8870,11.8309
1941-10-01,12.1478,12.0905
1942-01-01,12.7440,12.6839
1942-04-01,12.5764,12.5170
1942-07-01,13.2750,13.2124
1942-10-01,14.3929,14.3250
1943-01-01,15.1662,15.0946
1943-04-01,15.6133,15.5396
1943-07-01,16.4331,16.3555
1943-10-01,17.1504,17.0694
1944-01-01,17.3554,17.2734
1944-04-01,17.2902,17.2085
1944-07-01,17.2995,17.2178
1944-10-01,17.2436,17.1622
1945-01-01,16.9175,16.8376
1945-04-01,16.0977,16.0217
1945-07-01,13.8713,13.8058
1945-10-01,12.3341,12.2759
1946-01-01,11.8218,11.7660
1946-04-01,12.1292,12.0719
1946-07-01,13.2844,13.2216
1946-10-01,13.9458,13.8799
1947-01-01,14.2811,14.2137
1947-04-01,14.2905,14.2230
1947-07-01,14.3184,14.2508
1947-10-01,14.7097,14.6402
1948-01-01,14.8587,14.7886
1948-04-01,15.0171,14.9462
