DATE,IPB50001SQ
1919-01-01,4.8399
1919-04-01,4.877
1919-07-01,5.4148
1919-10-01,5.2849
1920-01-01,5.7764
1920-04-01,5.5075
1920-07-01,5.4055
1920-10-01,4.6915
1921-01-01,4.024
1921-04-01,3.9869
1921-07-01,4.0796
1921-10-01,4.3485
1922-01-01,4.6915
1922-04-01,5.0068
1922-07-01,5.2757
1922-10-01,5.9525
1923-01-01,6.1287
1923-04-01,6.4625
1923-07-01,6.277
1923-10-01,6.0731
1924-01-01,6.1565
1924-04-01,5.6744
1924-07-01,5.5353
1924-10-01,5.9989
1925-01-01,6.3419
1925-04-01,6.3605
1925-07-01,6.379
1925-10-01,6.6572
1926-01-01,6.6757
1926-04-01,6.7221
1926-07-01,6.8797
1926-10-01,6.9539
1927-01-01,6.9631
1927-04-01,6.8982
1927-07-01,6.7777
1927-10-01,6.5737
1928-01-01,6.787
1928-04-01,6.889
1928-07-01,7.1486
1928-10-01,7.5102
1929-01-01,7.7513
1929-04-01,8.0109
1929-07-01,8.1314
1929-10-01,7.5565
1930-01-01,7.1486
1930-04-01,6.8704
1930-07-01,6.2678
1930-10-01,5.8413
1931-01-01,5.73
1931-04-01,5.7393
1931-07-01,5.322
1931-10-01,4.8492
1932-01-01,4.5803
1932-04-01,4.0611
1932-07-01,3.9683
1932-10-01,4.2836
1933-01-01,4.0796
1933-04-01,4.9141
1933-07-01,5.8969
1933-10-01,5.1181
1934-01-01,5.4518
1934-04-01,5.7393
1934-07-01,5.1737
1934-10-01,5.322
1935-01-01,6.0731
1935-04-01,6.0081
1935-07-01,6.2678
1935-10-01,6.7684
1936-01-01,6.6757
1936-04-01,7.232
1936-07-01,7.6307
1936-10-01,8.1036
1937-01-01,8.4559
1937-04-01,8.6043
1937-07-01,8.4652
1937-10-01,6.9446
1938-01-01,6.1101
1938-04-01,5.9062
1938-07-01,6.5181
1938-10-01,7.1393
1939-01-01,7.334
1939-04-01,7.3804
1939-07-01,7.9367
1939-10-01,8.8546
1940-01-01,8.5672
1940-04-01,8.7712
1940-07-01,9.2533
1940-10-01,9.8003
1941-01-01,10.6626
1941-04-01,11.3765
1941-07-01,11.8309
1941-10-01,12.0905
1942-01-01,12.6839
1942-04-01,12.517
1942-07-01,13.2124
1942-10-01,14.325
1943-01-01,15.0946
1943-04-01,15.5396
1943-07-01,16.3555
1943-10-01,17.0694
1944-01-01,17.2734
1944-04-01,17.2085
1944-07-01,17.2178
1944-10-01,17.1622
1945-01-01,16.8376
1945-04-01,16.0217
1945-07-01,13.8058
1945-10-01,12.2759
1946-01-01,11.766
1946-04-01,12.0719
1946-07-01,13.2216
1946-10-01,13.8799
1947-01-01,14.2137
1947-04-01,14.223
1947-07-01,14.2508
1947-10-01,14.6402
1948-01-01,14.7886
1948-04-01,14.9462
1948-07-01,15.0853
1948-10-01,14.9277
1949-01-01,14.4455
1949-04-01,13.9912
1949-07-01,14.019
1949-10-01,13.9541
1950-01-01,14.6866
1950-04-01,15.9197
1950-07-01,17.1993
1950-10-01,17.496
1951-01-01,17.8483
1951-04-01,17.9039
1951-07-01,17.4774
1951-10-01,17.5979
1952-01-01,18.0059
1952-04-01,17.7463
1952-07-01,18.2655
1952-10-01,19.5728
1953-01-01,19.9623
1953-04-01,20.2404
1953-07-01,20.259
1953-10-01,19.304
1954-01-01,18.692
1954-04-01,18.6178
1954-07-01,18.7106
1954-10-01,19.2298
1955-01-01,20.2682
1955-04-01,21.1491
1955-07-01,21.4736
1955-10-01,21.9835
1956-01-01,22.067
1956-04-01,21.9743
1956-07-01,21.8537
1956-10-01,22.6511
1957-01-01,22.8644
1957-04-01,22.5769
1957-07-01,22.6604
1957-10-01,21.7054
1958-01-01,20.4815
1958-04-01,20.1384
1958-07-01,21.2047
1958-10-01,22.1597
1959-01-01,23.1332
1959-04-01,24.2551
1959-07-01,23.263
1959-10-01,23.3743
1960-01-01,24.7836
1960-04-01,24.2459
1960-07-01,23.8472
1960-10-01,23.2723
1961-01-01,22.92
1961-04-01,23.8286
1961-07-01,24.5889
1961-10-01,25.4512
1962-01-01,25.8313
1962-04-01,26.0817
1962-07-01,26.3598
1962-10-01,26.5824
1963-01-01,27.0738
1963-04-01,27.7877
1963-07-01,27.9731
1963-10-01,28.446
1964-01-01,28.8354
1964-04-01,29.5123
1964-07-01,29.9851
1964-10-01,30.4394
1965-01-01,31.5891
1965-04-01,32.3216
1965-07-01,32.9985
1965-10-01,33.6661
1966-01-01,34.6303
1966-04-01,35.3535
1966-07-01,35.9005
1966-10-01,36.2436
1967-01-01,36.0439
1967-04-01,35.897
1967-07-01,36.1439
1967-10-01,37.1111
1968-01-01,37.6408
1968-04-01,38.1483
1968-07-01,38.4443
1968-10-01,39.0281
1969-01-01,39.7873
1969-04-01,39.961
1969-07-01,40.4407
1969-10-01,40.1871
1970-01-01,39.2135
1970-04-01,38.9978
1970-07-01,38.8582
1970-10-01,38.0181
1971-01-01,38.7511
1971-04-01,39.1021
1971-07-01,39.2227
1971-10-01,40.1318
1972-01-01,41.8324
1972-04-01,42.6312
1972-07-01,43.1777
1972-10-01,44.685
1973-01-01,45.9563
1973-04-01,46.3335
1973-07-01,46.7338
1973-10-01,47.4284
1974-01-01,47.015
1974-04-01,47.048
1974-07-01,46.8516
1974-10-01,44.9875
1975-01-01,42.0136
1975-04-01,41.4542
1975-07-01,42.472
1975-10-01,43.4039
1976-01-01,44.7371
1976-04-01,45.3101
1976-07-01,45.9068
1976-10-01,46.7303
1977-01-01,47.6993
1977-04-01,49.1821
1977-07-01,49.726
1977-10-01,50.045
1978-01-01,49.8958
1978-04-01,51.9056
1978-07-01,52.3588
1978-10-01,53.3014
1979-01-01,53.5292
1979-04-01,53.4223
1979-07-01,53.2597
1979-10-01,53.4414
1980-01-01,53.6605
1980-04-01,51.4017
1980-07-01,50.5639
1980-10-01,52.5149
1981-01-01,52.6418
1981-04-01,52.8048
1981-07-01,53.2921
1981-10-01,52.1062
1982-01-01,51.0357
1982-04-01,50.4024
1982-07-01,49.7018
1982-10-01,48.7675
1983-01-01,49.3263
1983-04-01,50.4144
1983-07-01,52.1389
1983-10-01,53.5075
1984-01-01,55.0766
1984-04-01,55.9322
1984-07-01,56.3335
1984-10-01,56.3603
1985-01-01,56.5414
1985-04-01,56.5807
1985-07-01,56.5003
1985-10-01,56.8339
1986-01-01,57.1682
1986-04-01,56.8345
1986-07-01,57.0443
1986-10-01,57.6926
1987-01-01,58.4468
1987-04-01,59.4861
1987-07-01,60.6026
1987-10-01,62.0806
1988-01-01,62.6512
1988-04-01,63.1977
1988-07-01,63.4354
1988-10-01,63.8877
1989-01-01,64.1694
1989-04-01,63.9316
1989-07-01,63.5393
1989-10-01,63.8077
1990-01-01,64.2447
1990-04-01,64.7392
1990-07-01,65.008
1990-10-01,63.9984
1991-01-01,62.7922
1991-04-01,63.156
1991-07-01,64.0228
1991-10-01,64.1601
1992-01-01,64.0781
1992-04-01,65.2181
1992-07-01,65.7177
1992-10-01,66.4107
1993-01-01,66.9972
1993-04-01,67.1452
1993-07-01,67.4189
1993-10-01,68.4347
1994-01-01,69.2766
1994-04-01,70.5236
1994-07-01,71.4225
1994-10-01,72.902
1995-01-01,73.6558
1995-04-01,73.9003
1995-07-01,74.5668
1995-10-01,75.2157
1996-01-01,75.7359
1996-04-01,77.3524
1996-07-01,78.3245
1996-10-01,79.4118
1997-01-01,80.9172
1997-04-01,82.1017
1997-07-01,83.9901
1997-10-01,86.0996
1998-01-01,87.0588
1998-04-01,87.6397
1998-07-01,88.2875
1998-10-01,89.5659
1999-01-01,90.5629
1999-04-01,91.4587
1999-07-01,92.2883
1999-10-01,93.9156
2000-01-01,94.8542
2000-04-01,96.0393
2000-07-01,95.9509
2000-10-01,95.7469
2001-01-01,94.4816
2001-04-01,93.2974
2001-07-01,91.9513
2001-10-01,90.9629
2002-01-01,91.6066
2002-04-01,93.0417
2002-07-01,93.6114
2002-10-01,93.5651
2003-01-01,94.0848
2003-04-01,93.4245
2003-07-01,93.9926
2003-10-01,94.9404
2004-01-01,95.5733
2004-04-01,96.1238
2004-07-01,96.6679
2004-10-01,98.0175
2005-01-01,99.3981
2005-04-01,99.8969
2005-07-01,99.4222
2005-10-01,100.3732
2006-01-01,101.324
2006-04-01,101.9302
2006-07-01,102.2756
2006-10-01,102.5303
2007-01-01,103.4775
2007-04-01,104.7388
2007-07-01,104.9666
2007-10-01,105.1409
2008-01-01,104.7038
2008-04-01,103.2355
2008-07-01,99.9462
2008-10-01,95.7196
2009-01-01,90.354
2009-04-01,87.6317
2009-07-01,88.8524
2009-10-01,90.2404
2010-01-01,92.0006
2010-04-01,93.9194
2010-07-01,95.2955
2010-10-01,95.6798
2011-01-01,96.1711
2011-04-01,96.4916
2011-07-01,97.4877
2011-10-01,98.4042
2012-01-01,99.3385
2012-04-01,99.9896
2012-07-01,100.0436
2012-10-01,100.6283
2013-01-01,101.3782
2013-04-01,101.7482
2013-07-01,101.9816
2013-10-01,102.7931
2014-01-01,103.5967
2014-04-01,105.1102
2014-07-01,105.5499
2014-10-01,106.261
2015-01-01,105.3738
2015-04-01,104.3131
2015-07-01,104.4093
2015-10-01,103.4396
2016-01-01,103.0923
2016-04-01,102.9166
2016-07-01,103.1177
2016-10-01,103.3345
