DATE,FPI
1947-01-01,35.4
1947-04-01,35.7
1947-07-01,37.8
1947-10-01,41.8
1948-01-01,43.6
1948-04-01,44.5
1948-07-01,45.4
1948-10-01,45.3
1949-01-01,42.7
1949-04-01,41.4
1949-07-01,40.9
1949-10-01,42.2
1950-01-01,44.7
1950-04-01,49.5
1950-07-01,54.5
1950-10-01,54.4
1951-01-01,54.2
1951-04-01,52.6
1951-07-01,52.2
1951-10-01,52.4
1952-01-01,53.4
1952-04-01,54.5
1952-07-01,51.6
1952-10-01,55.5
1953-01-01,57.8
1953-04-01,58.5
1953-07-01,59.1
1953-10-01,58.5
1954-01-01,57.7
1954-04-01,58.8
1954-07-01,61.1
1954-10-01,62.5
1955-01-01,64.9
1955-04-01,68.1
1955-07-01,70.5
1955-10-01,71.6
1956-01-01,71.9
1956-04-01,73.4
1956-07-01,74.7
1956-10-01,74.9
1957-01-01,75.6
1957-04-01,75.2
1957-07-01,76.5
1957-10-01,75.6
1958-01-01,70.7
1958-04-01,69.3
1958-07-01,70.5
1958-10-01,74.8
1959-01-01,79.3
1959-04-01,82.1
1959-07-01,83.2
1959-10-01,82.4
1960-01-01,85.3
1960-04-01,83.9
1960-07-01,82.1
1960-10-01,81.8
1961-01-01,80.9
1961-04-01,82.3
1961-07-01,84.3
1961-10-01,86.9
1962-01-01,88.7
1962-04-01,91.3
1962-07-01,92.0
1962-10-01,91.6
1963-01-01,92.8
1963-04-01,96.8
1963-07-01,98.9
1963-10-01,102.1
1964-01-01,105.3
1964-04-01,106.1
1964-07-01,107.9
1964-10-01,110.0
1965-01-01,115.0
1965-04-01,118.5
1965-07-01,121.9
1965-10-01,126.2
1966-01-01,130.3
1966-04-01,131.2
1966-07-01,131.3
1966-10-01,129.4
1967-01-01,127.4
1967-04-01,131.2
1967-07-01,133.6
1967-10-01,139.2
1968-01-01,143.9
1968-04-01,144.9
1968-07-01,148.0
1968-10-01,154.8
1969-01-01,160.9
1969-04-01,163.5
1969-07-01,167.4
1969-10-01,165.8
1970-01-01,166.3
1970-04-01,166.4
1970-07-01,168.8
1970-10-01,170.7
1971-01-01,177.2
1971-04-01,186.5
1971-07-01,191.9
1971-10-01,198.7
1972-01-01,209.7
1972-04-01,214.8
1972-07-01,219.4
1972-10-01,232.2
1973-01-01,243.8
1973-04-01,250.0
1973-07-01,254.6
1973-10-01,255.9
1974-01-01,255.8
1974-04-01,260.0
1974-07-01,265.4
1974-10-01,260.9
1975-01-01,254.3
1975-04-01,257.2
1975-07-01,266.6
1975-10-01,275.9
1976-01-01,289.9
1976-04-01,299.9
1976-07-01,307.5
1976-10-01,327.1
1977-01-01,345.5
1977-04-01,370.2
1977-07-01,383.3
1977-10-01,398.2
1978-01-01,409.3
1978-04-01,446.3
1978-07-01,467.4
1978-10-01,487.3
1979-01-01,502.0
1979-04-01,511.9
1979-07-01,533.5
1979-10-01,539.3
1980-01-01,544.7
1980-04-01,511.5
1980-07-01,528.9
1980-10-01,560.6
1981-01-01,580.6
1981-04-01,598.1
1981-07-01,608.3
1981-10-01,618.6
1982-01-01,609.8
1982-04-01,597.8
1982-07-01,587.2
1982-10-01,589.1
1983-01-01,600.6
1983-04-01,621.4
1983-07-01,656.5
1983-10-01,694.6
1984-01-01,717.9
1984-04-01,749.6
1984-07-01,767.5
1984-10-01,783.8
1985-01-01,793.6
1985-04-01,805.4
1985-07-01,805.9
1985-10-01,826.4
1986-01-01,833.1
1986-04-01,839.6
1986-07-01,842.8
1986-10-01,854.8
1987-01-01,843.2
1987-04-01,858.1
1987-07-01,875.5
1987-10-01,883.4
1988-01-01,891.6
1988-04-01,914.9
1988-07-01,923.8
1988-10-01,943.6
1989-01-01,957.2
1989-04-01,964.7
1989-07-01,986.7
1989-10-01,979.4
1990-01-01,996.9
1990-04-01,981.1
1990-07-01,978.8
1990-10-01,958.9
1991-01-01,940.1
1991-04-01,944.6
1991-07-01,946.6
1991-10-01,947.6
1992-01-01,956.5
1992-04-01,989.9
1992-07-01,1003.7
1992-10-01,1036.7
1993-01-01,1048.0
1993-04-01,1070.4
1993-07-01,1089.3
1993-10-01,1136.4
1994-01-01,1156.7
1994-04-01,1183.7
1994-07-01,1198.4
1994-10-01,1232.0
1995-01-01,1266.1
1995-04-01,1270.1
1995-07-01,1291.9
1995-10-01,1317.2
1996-01-01,1348.3
1996-04-01,1388.0
1996-07-01,1423.4
1996-10-01,1445.3
1997-01-01,1472.2
1997-04-01,1501.5
1997-07-01,1557.4
1997-10-01,1567.6
1998-01-01,1607.2
1998-04-01,1657.4
1998-07-01,1687.4
1998-10-01,1734.4
1999-01-01,1767.2
1999-04-01,1810.7
1999-07-01,1850.4
1999-10-01,1865.2
2000-01-01,1929.8
2000-04-01,1981.3
2000-07-01,1998.5
2000-10-01,2007.2
2001-01-01,1998.2
2001-04-01,1978.6
2001-07-01,1967.5
2001-10-01,1923.5
2002-01-01,1910.2
2002-04-01,1906.5
2002-07-01,1902.6
2002-10-01,1906.7
2003-01-01,1929.2
2003-04-01,1970.9
2003-07-01,2040.1
2003-10-01,2094.4
2004-01-01,2106.3
2004-04-01,2183.3
2004-07-01,2249.0
2004-10-01,2312.7
2005-01-01,2375.7
2005-04-01,2438.9
2005-07-01,2509.3
2005-10-01,2546.2
2006-01-01,2625.2
2006-04-01,2619.7
2006-07-01,2607.3
2006-10-01,2602.5
2007-01-01,2614.0
2007-04-01,2624.8
2007-07-01,2609.6
2007-10-01,2588.7
2008-01-01,2547.2
2008-04-01,2517.2
2008-07-01,2454.7
2008-10-01,2308.3
2009-01-01,2117.8
2009-04-01,2013.8
2009-07-01,1992.3
2009-10-01,1978.8
2010-01-01,1977.5
2010-04-01,2042.6
2010-07-01,2043.0
2010-10-01,2094.1
2011-01-01,2097.2
2011-04-01,2149.6
2011-07-01,2243.1
2011-10-01,2302.5
2012-01-01,2395.3
2012-04-01,2445.5
2012-07-01,2455.9
2012-10-01,2502.9
2013-01-01,2554.0
2013-04-01,2593.6
2013-07-01,2625.3
2013-10-01,2682.7
2014-01-01,2738.6
2014-04-01,2796.7
2014-07-01,2863.6
2014-10-01,2885.2
2015-01-01,2915.7
2015-04-01,2944.7
2015-07-01,2995.3
2015-10-01,2997.2
2016-01-01,2994.8
2016-04-01,3002.5
2016-07-01,3013.1
2016-10-01,3049.0
2017-01-01,3138.0
