DATE,GPDI
1947-01-01,35.9
1947-04-01,34.5
1947-07-01,34.9
1947-10-01,43.2
1948-01-01,47.2
1948-04-01,50.3
1948-07-01,52.5
1948-10-01,51.3
1949-01-01,43.1
1949-04-01,36.2
1949-07-01,39.5
1949-10-01,37.5
1950-01-01,46.7
1950-04-01,52.3
1950-07-01,58.6
1950-10-01,68.4
1951-01-01,64.6
1951-04-01,67.4
1951-07-01,62.0
1951-10-01,57.1
1952-01-01,58.1
1952-04-01,53.0
1952-07-01,57.2
1952-10-01,60.7
1953-01-01,61.7
1953-04-01,62.1
1953-07-01,61.4
1953-10-01,56.4
1954-01-01,55.7
1954-04-01,55.4
1954-07-01,59.0
1954-10-01,62.1
1955-01-01,68.7
1955-04-01,72.7
1955-07-01,74.7
1955-10-01,78.9
1956-01-01,78.3
1956-04-01,77.0
1956-07-01,78.3
1956-10-01,77.1
1957-01-01,77.7
1957-04-01,77.9
1957-07-01,79.3
1957-10-01,71.0
1958-01-01,66.7
1958-04-01,65.1
1958-07-01,72.0
1958-10-01,80.0
1959-01-01,83.2
1959-04-01,89.4
1959-07-01,83.6
1959-10-01,86.5
1960-01-01,96.5
1960-04-01,87.1
1960-07-01,86.4
1960-10-01,76.0
1961-01-01,78.4
1961-04-01,84.1
1961-07-01,90.9
1961-10-01,92.9
1962-01-01,98.1
1962-04-01,96.7
1962-07-01,98.2
1962-10-01,95.0
1963-01-01,99.7
1963-04-01,101.6
1963-07-01,104.6
1963-10-01,107.2
1964-01-01,110.5
1964-04-01,110.5
1964-07-01,112.6
1964-10-01,115.0
1965-01-01,126.5
1965-04-01,127.0
1965-07-01,131.2
1965-10-01,133.8
1966-01-01,144.2
1966-04-01,143.5
1966-07-01,143.2
1966-10-01,145.9
1967-01-01,142.8
1967-04-01,137.5
1967-07-01,142.8
1967-10-01,147.7
1968-01-01,152.3
1968-04-01,158.9
1968-07-01,155.7
1968-10-01,160.8
1969-01-01,172.4
1969-04-01,172.7
1969-07-01,177.6
1969-10-01,171.6
1970-01-01,168.1
1970-04-01,171.5
1970-07-01,173.9
1970-10-01,166.8
1971-01-01,189.5
1971-04-01,197.3
1971-07-01,202.1
1971-10-01,198.4
1972-01-01,213.0
1972-04-01,226.8
1972-07-01,233.1
1972-10-01,239.7
1973-01-01,254.3
1973-04-01,268.2
1973-07-01,264.3
1973-10-01,280.9
1974-01-01,268.4
1974-04-01,277.4
1974-07-01,271.0
1974-10-01,281.3
1975-01-01,244.3
1975-04-01,243.3
1975-07-01,265.2
1975-10-01,276.2
1976-01-01,304.6
1976-04-01,322.3
1976-07-01,328.3
1976-10-01,337.6
1977-01-01,360.3
1977-04-01,389.7
1977-07-01,414.1
1977-10-01,422.3
1978-01-01,434.8
1978-04-01,470.6
1978-07-01,492.4
1978-10-01,515.8
1979-01-01,525.8
1979-04-01,539.3
1979-07-01,545.6
1979-10-01,547.9
1980-01-01,554.6
1980-04-01,519.3
1980-07-01,495.1
1980-10-01,551.5
1981-01-01,619.4
1981-04-01,609.8
1981-07-01,652.3
1981-10-01,643.4
1982-01-01,588.3
1982-04-01,593.6
1982-07-01,593.0
1982-10-01,549.2
1983-01-01,565.5
1983-04-01,613.8
1983-07-01,652.3
1983-10-01,718.5
1984-01-01,790.9
1984-04-01,818.9
1984-07-01,838.9
1984-10-01,831.7
1985-01-01,809.9
1985-04-01,827.0
1985-07-01,822.2
1985-10-01,859.5
1986-01-01,863.5
1986-04-01,855.2
1986-07-01,835.8
1986-10-01,842.1
1987-01-01,871.2
1987-04-01,874.6
1987-07-01,876.5
1987-10-01,946.5
1988-01-01,908.6
1988-04-01,934.5
1988-07-01,942.0
1988-10-01,962.8
1989-01-01,1005.4
1989-04-01,1001.0
1989-07-01,996.5
1989-10-01,995.9
1990-01-01,1010.8
1990-04-01,1014.8
1990-07-01,1000.7
1990-10-01,947.6
1991-01-01,924.6
1991-04-01,926.6
1991-07-01,947.5
1991-10-01,978.8
1992-01-01,956.8
1992-04-01,1013.1
1992-07-01,1024.2
1992-10-01,1058.0
1993-01-01,1083.9
1993-04-01,1094.5
1993-07-01,1095.9
1993-10-01,1153.0
1994-01-01,1202.1
1994-04-01,1265.1
1994-07-01,1251.6
1994-10-01,1307.2
1995-01-01,1327.3
1995-04-01,1303.8
1995-07-01,1303.2
1995-10-01,1335.6
1996-01-01,1355.2
1996-04-01,1418.6
1996-07-01,1474.4
1996-10-01,1480.0
1997-01-01,1522.0
1997-04-01,1589.9
1997-07-01,1625.3
1997-10-01,1645.3
1998-01-01,1712.3
1998-04-01,1694.8
1998-07-01,1739.8
1998-10-01,1794.4
1999-01-01,1850.6
1999-04-01,1845.8
1999-07-01,1890.9
1999-10-01,1949.4
2000-01-01,1945.9
2000-04-01,2071.8
2000-07-01,2055.8
2000-10-01,2061.6
2001-01-01,1967.5
2001-04-01,1967.0
2001-07-01,1937.3
2001-10-01,1842.7
2002-01-01,1910.0
2002-04-01,1925.6
2002-07-01,1927.9
2002-10-01,1936.5
2003-01-01,1960.2
2003-04-01,1970.5
2003-07-01,2048.3
2003-10-01,2132.8
2004-01-01,2155.2
2004-04-01,2259.5
2004-07-01,2311.3
2004-10-01,2380.8
2005-01-01,2475.2
2005-04-01,2469.5
2005-07-01,2527.2
2005-10-01,2636.5
2006-01-01,2699.7
2006-04-01,2697.0
2006-07-01,2684.4
2006-10-01,2641.6
2007-01-01,2634.2
2007-04-01,2671.9
2007-07-01,2658.2
2007-10-01,2610.6
2008-01-01,2527.0
2008-04-01,2493.3
2008-07-01,2435.9
2008-10-01,2243.1
2009-01-01,1972.1
2009-04-01,1825.9
2009-07-01,1786.4
2009-10-01,1928.0
2010-01-01,1989.5
2010-04-01,2092.7
2010-07-01,2164.6
2010-10-01,2156.5
2011-01-01,2123.5
2011-04-01,2212.7
2011-07-01,2228.2
2011-10-01,2395.2
2012-01-01,2460.8
2012-04-01,2534.8
2012-07-01,2529.9
2012-10-01,2521.3
2013-01-01,2617.6
2013-04-01,2658.1
2013-07-01,2750.8
2013-10-01,2798.6
2014-01-01,2774.0
2014-04-01,2861.6
2014-07-01,2939.8
2014-10-01,2970.4
2015-01-01,3044.6
2015-04-01,3049.9
2015-07-01,3072.1
2015-10-01,3059.9
2016-01-01,3036.8
2016-04-01,2987.5
2016-07-01,3017.2
2016-10-01,3101.4
2017-01-01,3146.5
