DATE,NINV
1947-01-01,56.0
1947-04-01,57.1
1947-07-01,59.6
1947-10-01,65.3
1948-01-01,67.0
1948-04-01,68.5
1948-07-01,70.7
1948-10-01,70.4
1949-01-01,67.1
1949-04-01,67.8
1949-07-01,68.1
1949-10-01,70.5
1950-01-01,74.0
1950-04-01,79.2
1950-07-01,91.9
1950-10-01,87.7
1951-01-01,89.9
1951-04-01,83.4
1951-07-01,82.5
1951-10-01,82.7
1952-01-01,84.2
1952-04-01,85.6
1952-07-01,81.3
1952-10-01,89.1
1953-01-01,93.0
1953-04-01,93.6
1953-07-01,93.6
1953-10-01,92.2
1954-01-01,90.6
1954-04-01,92.5
1954-07-01,94.3
1954-10-01,97.6
1955-01-01,103.3
1955-04-01,108.7
1955-07-01,112.8
1955-10-01,113.1
1956-01-01,111.5
1956-04-01,113.3
1956-07-01,114.4
1956-10-01,116.4
1957-01-01,118.2
1957-04-01,117.4
1957-07-01,118.4
1957-10-01,117.0
1958-01-01,110.2
1958-04-01,108.0
1958-07-01,109.8
1958-10-01,115.5
1959-01-01,122.9
1959-04-01,127.6
1959-07-01,129.5
1959-10-01,126.5
1960-01-01,130.9
1960-04-01,130.3
1960-07-01,128.0
1960-10-01,126.5
1961-01-01,123.1
1961-04-01,125.5
1961-07-01,128.9
1961-10-01,133.6
1962-01-01,136.3
1962-04-01,140.2
1962-07-01,141.6
1962-10-01,143.1
1963-01-01,145.4
1963-04-01,150.7
1963-07-01,153.6
1963-10-01,157.8
1964-01-01,163.2
1964-04-01,165.6
1964-07-01,169.4
1964-10-01,169.3
1965-01-01,179.8
1965-04-01,183.3
1965-07-01,188.6
1965-10-01,195.2
1966-01-01,202.6
1966-04-01,200.9
1966-07-01,203.6
1966-10-01,202.0
1967-01-01,198.5
1967-04-01,205.7
1967-07-01,208.3
1967-10-01,214.9
1968-01-01,224.8
1968-04-01,228.0
1968-07-01,235.5
1968-10-01,242.6
1969-01-01,250.9
1969-04-01,253.9
1969-07-01,258.0
1969-10-01,256.6
1970-01-01,255.9
1970-04-01,257.3
1970-07-01,260.9
1970-10-01,258.0
