;inv;u;r;fi;d
janv-84;0.234546471162593;78.7254;0.03265123886937;0.0301205070643511;31.3
avr-84;0.234925749538022;79.4871;0.0315744093460252;0.0303417929811707;32.3
juil-84;0.232514363026726;79.6213;0.0286084040863546;0.027861722778878;32.5
oct-84;0.225583183799026;79.4539;0.0281015278519292;0.029307696310759;33.5
janv-85;0.213394172762483;78.7806;0.0253643429454132;0.0274928481176396;34.1
avr-85;0.212686608294355;78.2445;0.0241401229419351;0.0305554432854083;34.9
juil-85;0.207487823759864;77.6916;0.024740459764722;0.0284118285022367;35.4
oct-85;0.208722506911022;77.7062;0.023109688737003;0.0302789444474596;36.6
janv-86;0.206661580608246;78.3095;0.0161597947081874;0.0280134896140375;37.2
avr-86;0.200216801797335;78.1032;0.0157471967937955;0.030945720900172;38.1
juil-86;0.191265727598663;78.3055;0.0154422526889662;0.0302102496273717;38.8
oct-86;0.188969660697782;78.8921;0.016400516484007;0.030402457432228;40.2
janv-87;0.189141980560497;79.4987;0.0177894655425787;0.0289067535514476;40.5
avr-87;0.186372465626468;80.258;0.0198845963411073;0.0259210710068937;41
juil-87;0.182970616595089;81.1696;0.0214966329730311;0.0247642769576345;41.2
oct-87;0.193155942709079;82.9482;0.0214309797745128;0.0238915395356929;42
janv-88;0.179933443908641;83.2464;0.0230038821875833;0.0237697743751516;42.4
avr-88;0.181155341186509;84.0056;0.0234202792064658;0.0234570168993387;42.9
juil-88;0.179708713176301;84.0621;0.0234701303863657;0.0230463235487539;42.9
oct-88;0.17578716291854;84.7921;0.0240221803860164;0.0218145617219369;43.3
janv-89;0.176074254852717;84.8863;0.0215812714943052;0.0231672630391396;42.6
avr-89;0.172241879717687;83.7969;0.0198880555787613;0.0231465437092571;43.7
juil-89;0.169009011412677;82.5307;0.0180361657139427;0.023322283069083;44.1
oct-89;0.166686988421901;81.9782;0.0172425675389117;0.0253095975232198;45.2
janv-90;0.16472391882094;82.2035;0.0173284374444705;0.0237110353352261;46.4
avr-90;0.163613720164386;82.2414;0.0179532057548138;0.0238984987050252;47
juil-90;0.158269505420502;81.9593;0.0187798915391379;0.0228790666470143;47.2
oct-90;0.147801634450107;80.1397;0.0174527306172914;0.0224266960184152;47
janv-91;0.140941959825778;77.9914;0.0161257136340988;0.0223247552634776;46.7
avr-91;0.140010982219147;78.0508;0.0177045192078028;0.0225732619899486;46.7
juil-91;0.141070863843141;79.1078;0.0185126620770185;0.025030530080035;47.1
oct-91;0.145533596933737;79.0589;0.0180796108763643;0.0268273797045462;47.1
janv-92;0.139822568019546;78.6632;0.0180278482814242;0.0261081196479825;48.8
avr-92;0.146844557191222;79.666;0.0197333056705552;0.0294715859259329;49.2
juil-92;0.146861046855667;79.8618;0.0182903867878853;0.0293146718372483;49.5
oct-92;0.150119009506841;79.9268;0.02026409439101;0.0318460624788312;49.9
janv-93;0.150837772529442;80.3461;0.0202012840455406;0.029519268654303;50.7
avr-93;0.149360165315388;80.2551;0.0220435466564111;0.0295265795165444;51
juil-93;0.146143344408313;80.06;0.0225107804326311;0.0313479738088506;51
oct-93;0.151185982100883;80.9733;0.0245806149713751;0.0305689912936417;50.8
janv-94;0.155325165748556;81.3786;0.0262061543649894;0.0313840178975146;51.4
avr-94;0.160825765197139;82.5293;0.0275834579818704;0.030908102137241;51.2
juil-94;0.156045590159151;82.9345;0.0282559432120377;0.0304165503278923;50.7
oct-94;0.159129810386101;84.0822;0.0294700009321411;0.0304613484087531;50.4
janv-95;0.158338828758518;84.0456;0.0302802969344603;0.0289439506964569;50.8
avr-95;0.152002965525763;83.2218;0.0304460645001853;0.0333577165451625;50.8
juil-95;0.148139677321818;82.7664;0.0309536915717575;0.0301341068202786;50.1
oct-95;0.148443414416455;82.4845;0.0302344376972558;0.0319210664200663;49.9
janv-96;0.147417004949119;81.6209;0.0305566368236668;0.0317522104209531;49.9
avr-96;0.152229217384637;82.2338;0.0305699855502278;0.0336823003526183;50.5
juil-96;0.156376476029893;82.3814;0.0299575914526743;0.0337281962607691;50.6
oct-96;0.153161374069803;82.2164;0.0303178544233591;0.0346112736397146;49.4
janv-97;0.154228916017265;82.663;0.0303419595105812;0.0356695920759441;47.5
avr-97;0.160470074891725;82.6272;0.0304295647334575;0.0351064138523231;47.5
juil-97;0.160183353688294;83.0901;0.0316750527987303;0.0351990698383015;47.1
oct-97;0.160457519312034;83.5727;0.0312200542547659;0.0328290941802214;46.1
janv-98;0.163279081493749;82.9398;0.0259123282110103;0.0333712446455641;45.4
avr-98;0.158935023251371;81.5785;0.0259313376070704;0.0336561923008004;46.7
juil-98;0.161081942022345;80.6554;0.0264236099747374;0.0344387456928191;46.8
oct-98;0.157638982625967;80.8439;0.0238516569336678;0.0369856430231678;45.7
janv-99;0.157414148047499;80.6226;0.0225093374866877;0.0376448867584466;46.2
avr-99;0.15263724795321;80.413;0.022965348275227;0.0373042504032191;46.8
juil-99;0.153259113682893;80.0283;0.0216071570120076;0.0392610652970745;47.8
oct-99;0.152114053253756;80.6637;0.0207356374248275;0.0412769647296493;46.1
janv-00;0.14659633528385;80.5366;0.0193385671774919;0.0423199360250978;47.1
avr-00;0.151213512606635;80.5269;0.0185797093856534;0.0416628309764108;48.2
juil-00;0.144910693587213;79.4951;0.0171779185664972;0.040707127383527;45.8
oct-00;0.138189860500693;78.1248;0.0138732098223479;0.0405446143391882;43.2
janv-01;0.130943015465291;76.1213;0.0148057914480511;0.0397173377307603;44
avr-01;0.129216518105407;74.426;0.0145496970893796;0.0412119602595793;44.4
juil-01;0.12681690476258;72.7839;0.0120886005970589;0.0412578495105307;44.4
oct-01;0.119908240795186;71.7049;0.00721625596961956;0.0435712461515651;44.9
janv-02;0.123524912464868;72.1163;0.0104077645512437;0.0440368443837325;44.8
avr-02;0.124586884919102;73.052;0.0133663937391297;0.0436983081180543;44.9
juil-02;0.12458941107617;73.5722;0.0158831057184221;0.0433543259901039;44.4
oct-02;0.123301597807034;73.4843;0.0189613615756753;0.0447388190430925;43.6
janv-03;0.123848203413001;73.7967;0.0190403824224587;0.0447509265803296;42.7
avr-03;0.123674630192914;73.4536;0.0187492343467515;0.0458396531199374;42.1
juil-03;0.127575356703631;73.8816;0.0204315417467354;0.0461948784862379;42.1
oct-03;0.131042617224792;74.7795;0.0214340562009968;0.0469115843824092;41.6
janv-04;0.12905601763436;75.2999;0.0247849556334863;0.0459517994882658;40.7
avr-04;0.131749328056828;75.995;0.0270410372632131;0.0453409130419666;39.2
juil-04;0.132050854711299;76.7249;0.0277996325622827;0.0443157135525029;37.8
oct-04;0.132243842003678;77.5714;0.0276218416228636;0.0452834850382117;37.1
janv-05;0.133790146710206;78.4615;0.0338090773832688;0.0495849562912351;37.2
avr-05;0.129731910400401;78.4576;0.0356768918394412;0.049705988677494;36.6
juil-05;0.128631882161407;77.8007;0.034612860574829;0.0500171322044792;36
oct-05;0.130206586904668;78.5371;0.0389487777674726;0.0526999460167752;35.4
janv-06;0.129962193923759;78.8784;0.0395771379361884;0.0522295933164442;35.1
avr-06;0.126896984901483;78.6908;0.0397125811151573;0.052639201254004;34.7
juil-06;0.12380219245531;78.4716;0.0418211395103105;0.0532318563248233;33.8
oct-06;0.119305118247814;78.3615;0.0385826390668485;0.0552481707743229;34.6
janv-07;0.116227182403773;78.6449;0.0363724784956586;0.051084588808624;34.2
avr-07;0.115409027422103;79.2012;0.0366933999774765;0.0514694835093285;34.3
juil-07;0.112741661227023;78.8288;0.0314120892008325;0.0538681701715789;34.3
oct-07;0.108756456005651;78.5984;0.0326453050039993;0.0545460465784214;34.7
janv-08;0.105177138354624;77.9568;0.028710120944309;0.0563086438269689;36.5
