DATE,NFCPATAX
1947-01-01,19.6
1947-04-01,18.4
1947-07-01,18.1
1947-10-01,19.7
1948-01-01,20.6
1948-04-01,21.6
1948-07-01,21.0
1948-10-01,20.0
1949-01-01,17.9
1949-04-01,15.5
1949-07-01,16.1
1949-10-01,15.9
1950-01-01,16.6
1950-04-01,20.4
1950-07-01,25.0
1950-10-01,27.7
1951-01-01,22.5
1951-04-01,18.5
1951-07-01,16.4
1951-10-01,17.8
1952-01-01,17.4
1952-04-01,16.5
1952-07-01,16.6
1952-10-01,18.7
1953-01-01,19.6
1953-04-01,19.5
1953-07-01,19.1
1953-10-01,14.3
1954-01-01,16.8
1954-04-01,17.4
1954-07-01,18.6
1954-10-01,19.9
1955-01-01,22.7
1955-04-01,23.2
1955-07-01,23.8
1955-10-01,24.9
1956-01-01,24.1
1956-04-01,24.7
1956-07-01,23.2
1956-10-01,24.8
1957-01-01,25.1
1957-04-01,23.6
1957-07-01,22.9
1957-10-01,20.9
1958-01-01,17.6
1958-04-01,18.0
1958-07-01,20.6
1958-10-01,23.8
1959-01-01,25.2
1959-04-01,27.7
1959-07-01,23.9
1959-10-01,23.0
1960-01-01,25.8
1960-04-01,23.4
1960-07-01,22.3
1960-10-01,21.0
1961-01-01,20.1
1961-04-01,22.0
1961-07-01,23.5
1961-10-01,25.7
1962-01-01,26.1
1962-04-01,25.6
1962-07-01,26.5
1962-10-01,26.8
1963-01-01,27.0
1963-04-01,29.2
1963-07-01,30.1
1963-10-01,30.9
1964-01-01,33.9
1964-04-01,33.9
1964-07-01,34.9
1964-10-01,34.6
1965-01-01,39.7
1965-04-01,41.3
1965-07-01,42.2
1965-10-01,44.7
1966-01-01,45.8
1966-04-01,46.2
1966-07-01,45.8
1966-10-01,44.7
1967-01-01,42.7
1967-04-01,42.9
1967-07-01,43.5
1967-10-01,46.2
1968-01-01,44.6
1968-04-01,45.7
1968-07-01,45.8
1968-10-01,47.2
1969-01-01,45.7
1969-04-01,44.0
1969-07-01,42.0
1969-10-01,40.5
1970-01-01,37.5
1970-04-01,37.0
1970-07-01,37.0
1970-10-01,34.1
1971-01-01,40.4
1971-04-01,41.9
1971-07-01,45.1
1971-10-01,46.8
1972-01-01,49.9
1972-04-01,50.5
1972-07-01,53.2
1972-10-01,58.8
1973-01-01,67.8
1973-04-01,69.2
1973-07-01,68.8
1973-10-01,73.2
1974-01-01,77.1
1974-04-01,81.1
1974-07-01,87.2
1974-10-01,76.3
1975-01-01,64.7
1975-04-01,70.3
1975-07-01,86.1
1975-10-01,90.2
1976-01-01,98.4
1976-04-01,100.8
1976-07-01,102.3
1976-10-01,100.8
1977-01-01,108.2
1977-04-01,115.5
1977-07-01,120.0
1977-10-01,121.0
1978-01-01,121.7
1978-04-01,141.1
1978-07-01,143.6
1978-10-01,150.5
1979-01-01,153.2
1979-04-01,155.8
1979-07-01,155.3
1979-10-01,152.3
1980-01-01,153.9
1980-04-01,130.0
1980-07-01,141.1
1980-10-01,150.4
1981-01-01,155.6
1981-04-01,147.7
1981-07-01,154.0
1981-10-01,145.3
1982-01-01,130.0
1982-04-01,127.6
1982-07-01,124.7
1982-10-01,112.8
1983-01-01,112.0
1983-04-01,127.9
1983-07-01,140.6
1983-10-01,143.1
1984-01-01,156.5
1984-04-01,156.0
1984-07-01,145.9
1984-10-01,145.8
1985-01-01,135.3
1985-04-01,131.4
1985-07-01,137.1
1985-10-01,132.0
1986-01-01,93.2
1986-04-01,92.1
1986-07-01,92.0
1986-10-01,99.2
1987-01-01,110.4
1987-04-01,125.3
1987-07-01,138.0
1987-10-01,139.2
1988-01-01,152.7
1988-04-01,158.1
1988-07-01,160.6
1988-10-01,170.6
1989-01-01,158.2
1989-04-01,147.6
1989-07-01,135.2
1989-10-01,130.1
1990-01-01,133.6
1990-04-01,139.4
1990-07-01,147.8
1990-10-01,138.9
1991-01-01,130.1
1991-04-01,143.8
1991-07-01,152.2
1991-10-01,149.2
1992-01-01,152.0
1992-04-01,167.4
