DATE,A464RC1Q027SBEA
1947-01-01,30.7
1947-04-01,28.8
1947-07-01,28.4
1947-10-01,30.9
1948-01-01,32.1
1948-04-01,33.7
1948-07-01,32.8
1948-10-01,31.4
1949-01-01,28
1949-04-01,24.2
1949-07-01,25.3
1949-10-01,24.9
1950-01-01,29.1
1950-04-01,35.6
1950-07-01,43.8
1950-10-01,48.4
1951-01-01,47.5
1951-04-01,39.3
1951-07-01,35.1
1951-10-01,37.7
1952-01-01,35.7
1952-04-01,33.5
1952-07-01,33.4
1952-10-01,37.3
1953-01-01,39.3
1953-04-01,39.4
1953-07-01,38.4
1953-10-01,28.9
1954-01-01,31.1
1954-04-01,32.2
1954-07-01,34.5
1954-10-01,37.1
1955-01-01,42.2
1955-04-01,42.9
1955-07-01,44
1955-10-01,46
1956-01-01,44.2
1956-04-01,45.2
1956-07-01,42.2
1956-10-01,44.9
1957-01-01,45.5
1957-04-01,43.1
1957-07-01,41.9
1957-10-01,37.9
1958-01-01,31.7
1958-04-01,32.3
1958-07-01,37.1
1958-10-01,43.1
1959-01-01,46
1959-04-01,50.6
1959-07-01,43.8
1959-10-01,42.1
1960-01-01,47.3
1960-04-01,42.8
1960-07-01,40.7
1960-10-01,38.4
1961-01-01,37.2
1961-04-01,40.7
1961-07-01,43.5
1961-10-01,47.7
1962-01-01,46.6
1962-04-01,45.7
1962-07-01,47.3
1962-10-01,47.8
1963-01-01,47.9
1963-04-01,51.8
1963-07-01,53.5
1963-10-01,54.9
1964-01-01,57.6
1964-04-01,57.7
1964-07-01,59.2
1964-10-01,58.4
1965-01-01,65.6
1965-04-01,68
1965-07-01,69.4
1965-10-01,73.5
1966-01-01,75.7
1966-04-01,76.1
1966-07-01,75.2
1966-10-01,73.5
1967-01-01,70.2
1967-04-01,70.1
1967-07-01,70.9
1967-10-01,75.3
1968-01-01,77.5
1968-04-01,79.1
1968-07-01,79.3
1968-10-01,81.7
1969-01-01,80.7
1969-04-01,78
1969-07-01,74.6
1969-10-01,72.4
1970-01-01,65
1970-04-01,64.5
1970-07-01,65
1970-10-01,60.3
1971-01-01,70.2
