DATE,NCBCMDPMVCE
1951-10-01,53.40
1952-01-01,52.70
1952-04-01,51.20
1952-07-01,52.60
1952-10-01,58.00
1953-01-01,60.50
1953-04-01,65.30
1953-07-01,68.30
1953-10-01,61.90
1954-01-01,57.70
1954-04-01,52.20
1954-07-01,47.50
1954-10-01,47.70
1955-01-01,46.40
1955-04-01,42.30
1955-07-01,40.20
1955-10-01,41.40
1956-01-01,39.50
1956-04-01,41.90
1956-07-01,43.70
1956-10-01,41.30
1957-01-01,44.70
1957-04-01,42.60
1957-07-01,48.00
1957-10-01,49.10
1958-01-01,46.80
1958-04-01,44.30
1958-07-01,40.00
1958-10-01,39.40
1959-01-01,38.80
1959-04-01,38.10
1959-07-01,39.10
1959-10-01,37.70
1960-01-01,40.90
1960-04-01,40.70
1960-07-01,44.20
1960-10-01,39.90
1961-01-01,35.50
1961-04-01,35.90
1961-07-01,35.00
1961-10-01,35.00
1962-01-01,35.90
1962-04-01,48.10
1962-07-01,46.00
1962-10-01,38.50
1963-01-01,36.80
1963-04-01,35.70
1963-07-01,34.60
1963-10-01,37.40
1964-01-01,35.50
1964-04-01,35.20
1964-07-01,34.40
1964-10-01,34.40
1965-01-01,34.30
1965-04-01,36.70
1965-07-01,34.20
1965-10-01,33.40
1966-01-01,35.20
1966-04-01,38.30
1966-07-01,43.30
1966-10-01,42.50
1967-01-01,38.20
1967-04-01,38.40
1967-07-01,36.80
1967-10-01,35.80
1968-01-01,40.20
1968-04-01,37.00
1968-07-01,37.80
1968-10-01,33.90
1969-01-01,36.50
1969-04-01,39.20
1969-07-01,41.60
1969-10-01,45.20
1970-01-01,49.90
1970-04-01,64.70
1970-07-01,56.20
1970-10-01,51.80
1971-01-01,47.70
1971-04-01,48.70
1971-07-01,50.40
1971-10-01,47.60
1972-01-01,46.00
1972-04-01,47.00
1972-07-01,46.80
1972-10-01,41.80
1973-01-01,45.80
1973-04-01,51.10
1973-07-01,50.20
1973-10-01,61.50
1974-01-01,65.10
1974-04-01,73.20
1974-07-01,99.70
1974-10-01,99.20
1975-01-01,81.30
1975-04-01,71.10
1975-07-01,80.50
1975-10-01,75.90
1976-01-01,66.40
1976-04-01,66.40
1976-07-01,66.60
1976-10-01,66.30
1977-01-01,73.60
1977-04-01,73.70
1977-07-01,78.50
1977-10-01,84.30
1978-01-01,91.70
1978-04-01,88.10
1978-07-01,83.20
1978-10-01,89.50
1979-01-01,86.70
1979-04-01,88.50
1979-07-01,85.10
1979-10-01,83.90
1980-01-01,91.50
1980-04-01,81.80
1980-07-01,73.50
1980-10-01,68.30
1981-01-01,69.40
1981-04-01,74.30
1981-07-01,89.30
1981-10-01,84.80
1982-01-01,98.10
1982-04-01,102.40
1982-07-01,95.50
1982-10-01,81.50
1983-01-01,75.70
1983-04-01,68.20
1983-07-01,70.70
1983-10-01,76.50
1984-01-01,84.60
1984-04-01,92.80
1984-07-01,90.10
1984-10-01,93.90
1985-01-01,88.90
1985-04-01,87.60
1985-07-01,94.90
1985-10-01,85.50
1986-01-01,78.80
1986-04-01,77.60
1986-07-01,88.00
1986-10-01,83.30
1987-01-01,70.60
1987-04-01,70.30
1987-07-01,67.80
1987-10-01,89.80
1988-01-01,87.10
1988-04-01,86.10
1988-07-01,89.40
1988-10-01,88.60
1989-01-01,87.10
1989-04-01,84.20
1989-07-01,78.80
1989-10-01,78.20
1990-01-01,83.60
1990-04-01,81.40
1990-07-01,96.90
1990-10-01,87.50
1991-01-01,75.90
1991-04-01,77.00
1991-07-01,72.40
1991-10-01,63.20
1992-01-01,65.20
1992-04-01,65.90
1992-07-01,64.20
1992-10-01,58.40
1993-01-01,57.80
1993-04-01,58.40
1993-07-01,57.40
1993-10-01,55.60
1994-01-01,59.70
1994-04-01,61.90
1994-07-01,59.20
1994-10-01,60.20
1995-01-01,57.20
1995-04-01,54.10
1995-07-01,50.60
1995-10-01,48.30
1996-01-01,47.00
1996-04-01,45.80
1996-07-01,45.80
1996-10-01,48.00
1997-01-01,49.20
1997-04-01,42.90
1997-07-01,40.10
1997-10-01,40.90
1998-01-01,36.90
1998-04-01,37.20
1998-07-01,42.60
1998-10-01,35.80
1999-01-01,36.20
1999-04-01,34.00
1999-07-01,37.00
1999-10-01,30.30
2000-01-01,29.30
2000-04-01,31.70
2000-07-01,32.60
2000-10-01,38.30
2001-01-01,44.70
2001-04-01,41.80
2001-07-01,51.00
2001-10-01,44.50
2002-01-01,44.50
2002-04-01,52.20
2002-07-01,63.70
2002-10-01,59.00
2003-01-01,61.10
2003-04-01,52.40
2003-07-01,50.50
2003-10-01,44.60
2004-01-01,44.50
2004-04-01,43.80
2004-07-01,45.70
2004-10-01,41.60
2005-01-01,42.20
2005-04-01,42.10
2005-07-01,40.80
2005-10-01,41.60
2006-01-01,39.00
2006-04-01,41.60
2006-07-01,40.70
2006-10-01,39.50
2007-01-01,38.80
2007-04-01,37.70
2007-07-01,38.20
2007-10-01,40.90
2008-01-01,45.80
2008-04-01,47.10
2008-07-01,53.80
2008-10-01,68.50
2009-01-01,76.20
2009-04-01,65.00
2009-07-01,55.00
2009-10-01,50.50
2010-01-01,48.40
2010-04-01,54.10
2010-07-01,48.70
2010-10-01,43.20
2011-01-01,40.90
2011-04-01,41.70
2011-07-01,50.20
2011-10-01,45.90
2012-01-01,41.10
2012-04-01,43.00
2012-07-01,41.60
2012-10-01,43.10
2013-01-01,38.60
2013-04-01,38.80
2013-07-01,37.30
2013-10-01,34.50
2014-01-01,34.40
2014-04-01,33.10
2014-07-01,33.80
2014-10-01,33.10
2015-01-01,33.20
2015-04-01,34.50
2015-07-01,38.30
2015-10-01,36.90
2016-01-01,37.70
2016-04-01,37.40
2016-07-01,36.60
2016-10-01,35.70
