DATE,NCBCMDPNWMV
1951-10-01,21.70
1952-01-01,21.20
1952-04-01,21.20
1952-07-01,21.70
1952-10-01,22.20
1953-01-01,22.30
1953-04-01,22.20
1953-07-01,22.10
1953-10-01,22.40
1954-01-01,22.30
1954-04-01,22.10
1954-07-01,22.20
1954-10-01,22.60
1955-01-01,22.50
1955-04-01,22.50
1955-07-01,22.30
1955-10-01,22.80
1956-01-01,22.50
1956-04-01,22.70
1956-07-01,22.40
1956-10-01,22.70
1957-01-01,22.70
1957-04-01,23.00
1957-07-01,22.90
1957-10-01,23.40
1958-01-01,23.50
1958-04-01,23.50
1958-07-01,23.50
1958-10-01,24.10
1959-01-01,24.00
1959-04-01,24.30
1959-07-01,24.10
1959-10-01,24.70
1960-01-01,24.90
1960-04-01,25.40
1960-07-01,25.20
1960-10-01,26.00
1961-01-01,25.80
1961-04-01,25.90
1961-07-01,25.80
1961-10-01,26.50
1962-01-01,26.40
1962-04-01,26.80
1962-07-01,26.80
1962-10-01,27.40
1963-01-01,27.40
1963-04-01,27.60
1963-07-01,27.50
1963-10-01,28.30
1964-01-01,28.20
1964-04-01,28.40
1964-07-01,28.40
1964-10-01,29.20
1965-01-01,29.40
1965-04-01,29.90
1965-07-01,29.90
1965-10-01,30.30
1966-01-01,30.70
1966-04-01,31.10
1966-07-01,31.20
1966-10-01,31.50
1967-01-01,31.80
1967-04-01,32.30
1967-07-01,32.10
1967-10-01,32.10
1968-01-01,32.50
1968-04-01,32.70
1968-07-01,32.80
1968-10-01,33.30
1969-01-01,33.30
1969-04-01,33.70
1969-07-01,33.60
1969-10-01,33.80
1970-01-01,35.10
1970-04-01,35.30
1970-07-01,35.50
1970-10-01,35.50
1971-01-01,35.10
1971-04-01,35.20
1971-07-01,34.90
1971-10-01,34.80
1972-01-01,34.60
1972-04-01,34.70
1972-07-01,34.60
1972-10-01,34.70
1973-01-01,34.70
1973-04-01,35.00
1973-07-01,35.20
1973-10-01,35.40
1974-01-01,35.00
1974-04-01,34.60
1974-07-01,33.20
1974-10-01,30.90
1975-01-01,32.50
1975-04-01,31.90
1975-07-01,31.70
1975-10-01,31.60
1976-01-01,30.90
1976-04-01,30.50
1976-07-01,30.20
1976-10-01,30.40
1977-01-01,30.40
1977-04-01,30.50
1977-07-01,30.40
1977-10-01,30.80
1978-01-01,30.90
1978-04-01,30.90
1978-07-01,30.30
1978-10-01,30.20
1979-01-01,30.10
1979-04-01,29.90
1979-07-01,29.40
1979-10-01,29.20
1980-01-01,29.20
1980-04-01,28.40
1980-07-01,27.60
1980-10-01,27.50
1981-01-01,27.10
1981-04-01,27.40
1981-07-01,28.00
1981-10-01,27.80
1982-01-01,28.10
1982-04-01,28.60
1982-07-01,28.90
1982-10-01,28.80
1983-01-01,29.20
1983-04-01,29.50
1983-07-01,29.90
1983-10-01,30.40
1984-01-01,31.30
1984-04-01,32.30
1984-07-01,32.50
1984-10-01,33.50
1985-01-01,34.10
1985-04-01,34.90
1985-07-01,35.40
1985-10-01,36.60
1986-01-01,37.20
