DATE,NCBCMDPNWHC
1951-10-01,39.8523
1952-01-01,39.2413
1952-04-01,38.8881
1952-07-01,39.0561
1952-10-01,40.0161
1953-01-01,39.6542
1953-04-01,39.3483
1953-07-01,38.9781
1953-10-01,39.2686
1954-01-01,38.8806
1954-04-01,38.2861
1954-07-01,38.0764
1954-10-01,38.5913
1955-01-01,37.8537
1955-04-01,37.9113
1955-07-01,37.7869
1955-10-01,39.1574
1956-01-01,38.9991
1956-04-01,39.1556
1956-07-01,39.0052
1956-10-01,39.7365
1957-01-01,39.6199
1957-04-01,39.8536
1957-07-01,39.5947
1957-10-01,40.5705
1958-01-01,40.1709
1958-04-01,40.0936
1958-07-01,39.8034
1958-10-01,40.6595
1959-01-01,40.0704
1959-04-01,40.2802
1959-07-01,39.7225
1959-10-01,40.5477
1960-01-01,40.2746
1960-04-01,40.75
1960-07-01,40.1698
1960-10-01,41.3204
1961-01-01,40.4171
1961-04-01,40.297
1961-07-01,39.8484
1961-10-01,40.8247
1962-01-01,40.1658
1962-04-01,40.5765
1962-07-01,40.3236
1962-10-01,41.1585
1963-01-01,40.7783
1963-04-01,40.8115
1963-07-01,40.4022
1963-10-01,41.5402
1964-01-01,41.0706
1964-04-01,41.4222
1964-07-01,41.2104
1964-10-01,42.4931
1965-01-01,42.6404
1965-04-01,43.0756
1965-07-01,42.8214
1965-10-01,43.3381
1966-01-01,43.5238
1966-04-01,44.3459
1966-07-01,44.3094
1966-10-01,45.119
1967-01-01,45.3106
1967-04-01,45.9653
1967-07-01,45.6847
1967-10-01,46.0762
1968-01-01,46.6323
1968-04-01,47.041
1968-07-01,47.2862
1968-10-01,48.3965
1969-01-01,48.3552
1969-04-01,49.1449
1969-07-01,49.1887
1969-10-01,49.915
1970-01-01,51.9545
1970-04-01,53.4135
1970-07-01,53.6379
1970-10-01,54.108
1971-01-01,54.082
1971-04-01,54.7511
1971-07-01,54.6575
1971-10-01,54.7018
1972-01-01,54.3949
1972-04-01,54.5282
1972-07-01,54.1964
